cluster_id,complex_name,addr_legal,addr_query,addr_variant_used,type,status,lat,lon,crs,refined_text,level1,level2,level3,level4L,level5,representative_method,parcel_count,centroid_spread_m,coord_source,coord_fetched_at,coord_license_note,qa_flag,error_code,needs_review
A10026654,김포한강신도시 모아엘가 2차아파트,경기도 김포시 구래동 6888-6 김포한강신도시 모아엘가 2차아파트,경기도 김포시 구래동 6888-6,full,PARCEL,OK,37.63860187609394,126.62984872417888,EPSG:4326,경기도 김포시 구래동 6888-6,경기도,김포시,,구래동,6888-6,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:53.052821+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026682,위례포레샤인아파트,서울특별시 송파구 장지동 905 위례포레샤인아파트,서울특별시 송파구 장지동 905,full,PARCEL,OK,37.47651631318344,127.13528189064863,EPSG:4326,서울특별시 송파구 장지동 905,서울특별시,송파구,,장지동,905,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:53.571801+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026689,동탄2 르파비스,경기도 화성동탄구 목동  동탄2 르파비스,목동 2,fallback,PARCEL,OK,37.387186849315235,127.21739684147937,EPSG:4326,경기도 광주시 목동 2,경기도,광주시,,목동,2,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:54.539404+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026707,미사강변더샵센트럴포레아파트,경기도 하남시 풍산동 486 미사강변더샵센트럴포레아파트,경기도 하남시 풍산동 486,full,PARCEL,OK,37.55470548140808,127.18483596174342,EPSG:4326,경기도 하남시 풍산동 486,경기도,하남시,,풍산동,486,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:55.288766+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026740,동탄역 센트럴예미지 아파트,경기도 화성동탄구 영천동 670 동탄역 센트럴예미지 아파트,경기도 화성동탄구 영천동 670,full,PARCEL,OK,37.20666492743895,127.10510194235036,EPSG:4326,경기도 화성시 동탄구 영천동 670,경기도,화성시 동탄구,,영천동,670,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:55.797611+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026763,김포한강신도시 레이크에일린의 뜰,경기도 김포시 마산동 616-3 김포한강신도시 레이크에일린의 뜰,경기도 김포시 마산동 616-3,full,PARCEL,OK,37.6434921126659,126.63839405495679,EPSG:4326,경기도 김포시 마산동 616-3,경기도,김포시,,마산동,616-3,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:57.133855+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026773,한강센트럴블루힐,경기도 김포시 마산동 637-3 한강센트럴블루힐,경기도 김포시 마산동 637-3,full,PARCEL,OK,37.635927225451425,126.630666828795,EPSG:4326,경기도 김포시 마산동 637-3,경기도,김포시,,마산동,637-3,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:57.772942+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026774,동탄역 반도유보라아이비파크6차,경기도 화성동탄구 여울동 972 동탄역 반도유보라아이비파크6차,경기도 화성동탄구 여울동 972,full,PARCEL,OK,37.204081590099044,127.09110807160468,EPSG:4326,경기도 화성시 동탄구 여울동 972,경기도,화성시 동탄구,,여울동,972,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:58.430405+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026777,LH위례31단지,경기도 성남수정구 창곡동 500 LH위례31단지,창곡동 500,fallback,PARCEL,OK,37.47288933968176,127.13474782846384,EPSG:4326,경기도 성남시 수정구 창곡동 500,경기도,성남시 수정구,,창곡동,500,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:59.490386+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026784,미사강변해링턴플레이스아파트,경기도 하남시 망월동 1170 미사강변해링턴플레이스아파트,경기도 하남시 망월동 1170,full,PARCEL,OK,37.561466734544645,127.19854384867452,EPSG:4326,경기도 하남시 망월동 1170,경기도,하남시,,망월동,1170,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:00.055403+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026805,동탄역 반도유보라아이비파크5차,경기도 화성동탄구 여울동 988 동탄역 반도유보라아이비파크5차,경기도 화성동탄구 여울동 988,full,PARCEL,OK,37.19516233179718,127.09109186880958,EPSG:4326,경기도 화성시 동탄구 여울동 988,경기도,화성시 동탄구,,여울동,988,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:01.645854+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026825,김포e편한세상캐널시티주상복합,경기도 김포시 장기동 2031 김포e편한세상캐널시티주상복합,경기도 김포시 장기동 2031,full,PARCEL,OK,37.640593580354476,126.67746352611024,EPSG:4326,경기도 김포시 장기동 2031,경기도,김포시,,장기동,2031,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:02.158094+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026888,동탄역센트럴상록아파트,경기도 화성동탄구 영천동 662 동탄역센트럴상록아파트,경기도 화성동탄구 영천동 662,full,PARCEL,OK,37.20824441660175,127.10105736361524,EPSG:4326,경기도 화성시 동탄구 영천동 662,경기도,화성시 동탄구,,영천동,662,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:02.748344+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026944,위례센트럴자이,경기도 성남수정구 창곡동 504 위례센트럴자이,창곡동 504,fallback,PARCEL,OK,37.47324537809553,127.13909007428974,EPSG:4326,경기도 성남시 수정구 창곡동 504,경기도,성남시 수정구,,창곡동,504,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:04.079881+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026957,동탄역푸르지오,경기도 화성동탄구 영천동 321-1 동탄역푸르지오,영천동 321-1,fallback,PARCEL,OK,37.570373673147884,126.96163839398587,EPSG:4326,서울특별시 서대문구 영천동 321-1,서울특별시,서대문구,,영천동,321-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:05.185728+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sido_mismatch|sigungu_mismatch,,True
A10026985,동탄 호반써밋포레,경기도 화성동탄구 목동 494 동탄 호반써밋포레,경기도 화성동탄구 목동 494,full,PARCEL,OK,37.180785992371284,127.11738658548103,EPSG:4326,경기도 화성시 동탄구 목동 494,경기도,화성시 동탄구,,목동,494,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:05.735282+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026990,한강센트럴자이2차,경기도 김포시 장기동 867 한강센트럴자이2차,경기도 김포시 장기동 867,full,PARCEL,OK,37.63393286770764,126.67281536972362,EPSG:4326,경기도 김포시 장기동 867-14,경기도,김포시,,장기동,867-14,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:06.286339+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027014,한강신도시3차푸르지오,경기도 김포시 구래동 6895-2 한강신도시3차푸르지오,경기도 김포시 구래동 6895-2,full,PARCEL,OK,37.64119180527699,126.62298249705883,EPSG:4326,경기도 김포시 구래동 6895-2,경기도,김포시,,구래동,6895-2,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:06.822640+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027017,하늘빛마을 한신더휴테라스 8블럭,경기도 김포시 운양동 1339-1 하늘빛마을 한신더휴테라스 8블럭,경기도 김포시 운양동 1339-1,full,PARCEL,OK,37.65410067571857,126.68688674484821,EPSG:4326,경기도 김포시 운양동 1339-1,경기도,김포시,,운양동,1339-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:07.435312+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027030,한신더휴테라스12BL아파트,경기도 김포시 운양동 1288-1 한신더휴테라스12BL아파트,경기도 김포시 운양동 1288-1,full,PARCEL,OK,37.650688563280305,126.69516858785462,EPSG:4326,경기도 김포시 운양동 1288-1,경기도,김포시,,운양동,1288-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:07.996771+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027062,한강신도시 반도유보라3차,경기도 김포시 마산동 640-5 한강신도시 반도유보라3차,경기도 김포시 마산동 640-5,full,PARCEL,OK,37.638481338220416,126.64264653082182,EPSG:4326,경기도 김포시 마산동 640-5,경기도,김포시,,마산동,640-5,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:08.519697+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027070,신안인스빌아스트로,경기도 하남시 학암동 663 신안인스빌아스트로,경기도 하남시 학암동 663,full,PARCEL,OK,37.47501577289077,127.14520910156995,EPSG:4326,경기도 하남시 학암동 663,경기도,하남시,,학암동,663,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:09.062332+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027079,하늘빛마을 한신더휴테라스 11블럭,경기도 김포시 운양동 1337-1 하늘빛마을 한신더휴테라스 11블럭,경기도 김포시 운양동 1337-1,full,PARCEL,OK,37.65138503184512,126.69295763515237,EPSG:4326,경기도 김포시 운양동 1337-1,경기도,김포시,,운양동,1337-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:09.581987+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027093,한신더휴테라스 9블럭,경기도 김포시 운양동 1293-4 한신더휴테라스 9블럭,경기도 김포시 운양동 1293-4,full,PARCEL,OK,37.65292444522258,126.69148107101063,EPSG:4326,경기도 김포시 운양동 1293-4,경기도,김포시,,운양동,1293-4,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:10.095679+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027116,미사강변센트럴자이,경기도 하남시 풍산동 480 미사강변센트럴자이,경기도 하남시 풍산동 480,full,PARCEL,OK,37.55779900381539,127.1860762149859,EPSG:4326,경기도 하남시 풍산동 480,경기도,하남시,,풍산동,480,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:12.190402+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10027117,동탄역더힐아파트,경기도 화성동탄구 청계동 556 동탄역더힐아파트,경기도 화성동탄구 청계동 556,full,PARCEL,OK,37.19840520632029,127.120159063524,EPSG:4326,경기도 화성시 동탄구 청계동 556,경기도,화성시 동탄구,,청계동,556,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:12.759368+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10027122,동탄역 포레너스 입주자대표회의,경기도 화성동탄구 영천동 720 동탄역 포레너스 입주자대표회의,경기도 화성동탄구 영천동 720,full,PARCEL,OK,37.206426535668825,127.11628673681071,EPSG:4326,경기도 화성시 동탄구 영천동 720,경기도,화성시 동탄구,,영천동,720,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:13.247214+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10027133,동탄2 LH C26단지 행복주택,경기도 화성동탄구 여울동 1017 동탄2 LH C26단지 행복주택,경기도 화성동탄구 여울동 1017,full,PARCEL,OK,37.186101976513825,127.09147330698292,EPSG:4326,경기도 화성시 동탄구 여울동 1017,경기도,화성시 동탄구,,여울동,1017,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:13.796267+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10027180,미사강변스타힐스,경기도 하남시 망월동 956 미사강변스타힐스,경기도 하남시 망월동 956,full,PARCEL,OK,37.57116533230729,127.18486804813926,EPSG:4326,경기도 하남시 망월동 956,경기도,하남시,,망월동,956,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:14:14.275698+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
