development,시도,시군구,읍면,동리,단지코드,단지명,법정동주소,도로명주소,사용승인일,세대수
남양주 다산,경기도,남양주시,,다산동,A10023893,다산한신더휴 7단지 아파트,경기도 남양주시 다산동 681 다산한신더휴 7단지 아파트,경기도 남양주시 가운로2길 78,20091028,114.0
남양주 다산,경기도,남양주시,,다산동,A10023982,다산한신더휴6단지,"경기도 남양주시 다산동 682,경기도 남양주시 다산동 682 다산한신더휴6단지",,20091028,111.0
남양주 다산,경기도,남양주시,,다산동,A47288801,다산효성해링턴타워,경기도 남양주시 다산동 4434 다산효성해링턴타워,경기도 남양주시 경춘로 377,20100315,234.0
남양주 다산,경기도,남양주시,,다산동,A47288802,도농사랑으로7단지 부영아파트,경기도 남양주시 다산동 4435 도농사랑으로7단지 부영아파트,경기도 남양주시 도농로 71,20131230,317.0
남양주 다산,경기도,남양주시,,다산동,A47288803,다산센트레빌,경기도 남양주시 다산동 4436 다산센트레빌,경기도 남양주시 미금로 16,20161130,457.0
남양주 다산,경기도,남양주시,,다산동,A10027754,힐스테이트황금산아파트,경기도 남양주시 다산동 3129-65 힐스테이트황금산아파트,경기도 남양주시 경춘로 468-40,20170630,1008.0
남양주 다산,경기도,남양주시,,다산동,A10026600,다산 롯데캐슬아파트,"경기도 남양주시 다산동 5869-2,경기도 남양주시 다산동  다산 롯데캐슬아파트",경기도 남양주시 다산중앙로146번길 7,20171222,1186.0
남양주 다산,경기도,남양주시,,다산동,A10026580,다산아이파크,"경기도 남양주시 다산동 5808-1,경기도 남양주시 다산동  다산아이파크",경기도 남양주시 다산순환로 333,20171222,467.0
남양주 다산,경기도,남양주시,,다산동,A10026562,다산한양수자인리버팰리스,경기도 남양주시 다산동 6024 다산한양수자인리버팰리스,경기도 남양주시 다산순환로 171,20171222,640.0
남양주 다산,경기도,남양주시,,다산동,A10026598,이편한세상 다산,"경기도 남양주시 다산동 3646-1,경기도 남양주시 다산동 6091- 이편한세상 다산",경기도 남양주시 다산중앙로82번길 15,20171222,1615.0
남양주 다산,경기도,남양주시,,다산동,A10026388,다산반도유보라메이플타운,경기도 남양주시 다산동 6014 다산반도유보라메이플타운,경기도 남양주시 다산순환로 300,20180314,1085.0
남양주 다산,경기도,남양주시,,다산동,A10026292,다산유승한내들센트럴아파트,경기도 남양주시 다산동 6090 다산유승한내들센트럴아파트,경기도 남양주시 다산중앙로81번길 10,20180426,642.0
남양주 다산,경기도,남양주시,,다산동,A10026164,다산 e편한세상자이아파트,경기도 남양주시 다산동 3679-3 다산 e편한세상자이아파트,경기도 남양주시 다산중앙로81번길 25,20180627,1685.0
남양주 다산,경기도,남양주시,,다산동,A10026156,다산유승한내들골든뷰,경기도 남양주시 다산동 4399-3 다산유승한내들골든뷰,경기도 남양주시 다산순환로 135,20180718,316.0
남양주 다산,경기도,남양주시,,다산동,A10026145,다산한양수자인리버파크,경기도 남양주시 다산동 4409-3 다산한양수자인리버파크,경기도 남양주시 다산순환로 111,20180725,291.0
남양주 다산,경기도,남양주시,,다산동,A10025828,다산펜테리움 리버테라스1차,"경기도 남양주시 다산동 6215-,경기도 남양주시 다산동 6215 다산펜테리움 리버테라스1차",경기도 남양주시 다산지금로145번길 15,20181221,944.0
남양주 다산,경기도,남양주시,,다산동,A10025830,힐스테이트 다산,"경기도 남양주시 다산동 3639-2,경기도 남양주시 다산동  힐스테이트 다산",경기도 남양주시 다산순환로 365,20181228,1283.0
남양주 다산,경기도,남양주시,,다산동,A10025596,다산한강 반도유보라아파트 입주자대표회의,경기도 남양주시 다산동 6234 다산한강 반도유보라아파트 입주자대표회의,경기도 남양주시 다산지금로146번길 67,20190321,1261.0
남양주 다산,경기도,남양주시,,다산동,A10025561,다산센트럴에일린의뜰아파트,경기도 남양주시 다산동 6208 다산센트럴에일린의뜰아파트,경기도 남양주시 다산지금로16번길 88,20190411,759.0
남양주 다산,경기도,남양주시,,다산동,A10025474,다산 금강펜테리움 리버테라스2차아파트,경기도 남양주시 다산동 6235 다산 금강펜테리움 리버테라스2차아파트,경기도 남양주시 다산지금로146번길 117,20190612,1304.0
남양주 다산,경기도,남양주시,,다산동,A10025435,다산신안인스빌퍼스트리버,경기도 남양주시 다산동 540 다산신안인스빌퍼스트리버,경기도 남양주시 다산지금로146번길 100,20190627,800.0
남양주 다산,경기도,남양주시,,다산동,A10025393,다산e편한세상더퍼스트,경기도 남양주시 다산동 6151 다산e편한세상더퍼스트,경기도 남양주시 다산중앙로20번길 7,20190628,491.0
남양주 다산,경기도,남양주시,,다산동,A10025331,다산자연&e편한세상 3차아파트,경기도 남양주시 다산동 6132 다산자연&e편한세상 3차아파트,경기도 남양주시 다산중앙로82번길 12,20190726,1394.0
남양주 다산,경기도,남양주시,,다산동,A10025306,다산역 경기행복주택아파트,경기도 남양주시 다산동 6027 다산역 경기행복주택아파트,경기도 남양주시 다산중앙로145번길 38,20190902,970.0
남양주 다산,경기도,남양주시,,다산동,A10025066,다산 신안인스빌퍼스트포레,경기도 남양주시 다산동 6213 다산 신안인스빌퍼스트포레,경기도 남양주시 다산지금로123번길 17,20200121,1282.0
남양주 다산,경기도,남양주시,,다산동,A10024480,다산자이아이비플레이스 아파트,경기도 남양주시 다산동 6028 다산자이아이비플레이스 아파트,경기도 남양주시 다산중앙로 153,20210107,967.0
남양주 다산,경기도,남양주시,,다산동,A10024415,다산해모로아파트,경기도 남양주시 다산동 6297 다산해모로아파트,경기도 남양주시 미금로19번길 9,20210219,449.0
남양주 다산,경기도,남양주시,,다산동,A10024195,다산센트럴파크,경기도 남양주시 다산동 6107 다산센트럴파크,경기도 남양주시 다산중앙로82번길 87-17,20210728,2075.0
남양주 다산,경기도,남양주시,,다산동,A10024153,다산자이 폴라리스,경기도 남양주시 다산동 6015 다산자이 폴라리스,경기도 남양주시 다산순환로 242,20210729,878.0
남양주 다산,경기도,남양주시,,다산동,A10024060,다산 메트로 3단지,경기도 남양주시 다산동 6076 다산 메트로 3단지,경기도 남양주시 다산중앙로123번길 47,20210831,1257.0
남양주 다산,경기도,남양주시,,다산동,A10024093,다산 푸르지오,경기도 남양주시 다산동 6163 다산 푸르지오,경기도 남양주시 다산중앙로82번안길 74,20211027,1614.0
남양주 다산,경기도,남양주시,,다산동,A10023863,다산지금 경기행복주택,경기도 남양주시 다산동 6110 다산지금 경기행복주택,경기도 남양주시 다산중앙로82번길 106,20220407,2078.0
남양주 다산,경기도,남양주시,,다산동,A10023642,다산지금데시앙,경기도 남양주시 다산동 6109 다산지금데시앙,경기도 남양주시 다산중앙로82번길 105,20220819,961.0
남양주 다산,경기도,남양주시,,다산동,A10023643,다산진건데시앙,경기도 남양주시 다산동 6026 다산진건데시앙,경기도 남양주시 다산중앙로171번길 21-10,20220819,651.0
남양주 다산,경기도,남양주시,,다산동,A10022971,다산 포레스트 2단지,경기도 남양주시 다산동 6013 다산 포레스트 2단지,경기도 남양주시 다산순환로 311,20231004,928.0
남양주 다산,경기도,남양주시,,다산동,A10022765,해링턴플레이스 다산파크,경기도 남양주시 다산동 3473 해링턴플레이스 다산파크,경기도 남양주시 미금로 98,20240221,350.0
남양주 다산,경기도,남양주시,,다산동,A10022615,다산역자연앤푸르지오,경기도 남양주시 다산동 6084 다산역자연앤푸르지오,경기도 남양주시 다산중앙로123번길 29,20240222,1272.0
남양주 다산,경기도,남양주시,,다산동,A10022364,다산유보라마크뷰,경기도 남양주시 다산동 4438- 다산유보라마크뷰,,20240715,194.0
위례,서울특별시,송파구,,오금동,A13813008,오금대림,"서울특별시 송파구 오금동 19,서울특별시 송파구 오금동 2 오금대림","서울특별시 송파구 위례성대로 176,서울특별시 송파구 마천로7길 4",19881210,749.0
위례,서울특별시,송파구,,방이동,A10026209,올림픽베어스타운,서울특별시 송파구 방이동 171 올림픽베어스타운,서울특별시 송파구 위례성대로 58,19960425,140.0
위례,서울특별시,송파구,,방이동,A13805003,신구블레스밸리,서울특별시 송파구 방이동 197 신구블레스밸리,서울특별시 송파구 위례성대로12길 25,20040520,104.0
위례,서울특별시,송파구,,장지동,A13876113,송파더센트레아파트,서울특별시 송파구 장지동 879 송파더센트레아파트,서울특별시 송파구 위례광장로 163,20131101,1139.0
위례,서울특별시,송파구,,장지동,A13876114,송파꿈에그린아파트,서울특별시 송파구 장지동 901 송파꿈에그린아파트,서울특별시 송파구 위례광장로 121,20131108,1810.0
위례,서울특별시,송파구,,장지동,A10028086,위례 송파푸르지오,서울특별시 송파구 장지동 878 위례 송파푸르지오,서울특별시 송파구 위례광장로 185,20150123,549.0
위례,경기도,하남시,,학암동,A10027741,플로리체 위례 아파트,경기도 하남시 학암동 671 플로리체 위례 아파트,경기도 하남시 위례중앙로 185,20151030,970.0
위례,경기도,성남수정구,,창곡동,A10027709,래미안위례아파트,경기도 성남수정구 창곡동 528 래미안위례아파트,경기도 성남시 수정구 위례순환로 150,20151127,410.0
