development,promise_src_id,promise_cand_id,promise_event_date,promise_date_precision,actual_src_id,actual_cand_id,actual_event_date,actual_date_precision,mode,promise_line_name,actual_line_name,promise_scope,actual_scope,candidate_pairable,fine_precision,delay_days_representative,reason,review_status
위례,SRC-H016,H016,2026-12,month,SRC-E1-C06,C06,2026년,year,tram,위례선 트램,,district,district,false,false,0,line_mismatch_or_blank,not_pairable
위례,SRC-E1-B05,B05,2014-05-15,day,SRC-H017,H017,2021-12-18,day,,,수도권 전철 8호선 남위례역,district,district,false,true,2774,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
위례,SRC-E1-B05,B05,2014-05-15,day,SRC-H018,H018,2023-08-30,day,,,위례 똑버스,district,district_sector,false,true,3394,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
위례,SRC-E1-B05,B05,2014-05-15,day,SRC-E1-C05,C05,2025년 9월,month,,,,district,corridor,false,true,4156,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
위례,SRC-E1-B05,B05,2014-05-15,day,SRC-E1-C06,C06,2026년,year,,,,district,district,false,false,4613,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
남양주 다산,SRC-H021,H021,미정,unknown,SRC-H023,H023,2024-08-10,day,rail,별내선(8호선 연장),별내선(8호선 연장),district,district,false,false,,promise_target_unknown,not_pairable
남양주 다산,SRC-H021,H021,미정,unknown,SRC-H024,H024,2024-08-10,day,rail,별내선(8호선 연장),별내선(8호선 연장),district,district,false,false,,promise_target_unknown,not_pairable
남양주 다산,SRC-H021,H021,미정,unknown,SRC-E1-C07,C07,2024.07.13.,day,rail,별내선(8호선 연장),다산역 연계버스 5개 노선,district,corridor,false,false,,mode_mismatch_or_blank;line_mismatch_or_blank;promise_target_unknown,not_pairable
남양주 다산,SRC-H021,H021,미정,unknown,SRC-E1-C08,C08,2023-01-01,day,rail,별내선(8호선 연장),,district,corridor,false,false,,mode_mismatch_or_blank;line_mismatch_or_blank;promise_target_unknown;inactive_source,not_pairable
남양주 다산,SRC-H022,H022,2022,year,SRC-H023,H023,2024-08-10,day,rail,별내선(8호선 연장),별내선(8호선 연장),district,district,true,false,588,,draft_needs_human
