kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A44575306,동탄파라곤주상복합아파트,경기도 화성동탄구 반송동 93-3 동탄파라곤주상복합아파트,경기도 화성시 동탄반석로 172,2010-11-12,20101112,278,3,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2010-11-12 < window 2014-01-01
A44575305,동탄현대하이페리온,경기도 화성동탄구 반송동 93-9 동탄현대하이페리온,경기도 화성시 동탄반석로 156,2010-11-30,20101130,180,2,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2010-11-30 < window 2014-01-01
A44592111,화성 향남2지구 서봉마을1단지,경기도 화성만세구 향남읍 하길리 1444 화성 향남2지구 서봉마을1단지,경기도 화성시 상신하길로356번길 15,2014-11-27,20141127,544,4,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A44592107,화성향남서봉마을2단지,경기도 화성만세구 향남읍 하길리 1447 화성향남서봉마을2단지,경기도 화성시 상신하길로356번길 29-16,2014-11-27,20141127,702,5,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A44592108,화성향남오색마을사랑으로부영10단지,경기도 화성만세구 향남읍 하길리 443-2 화성향남오색마을사랑으로부영10단지,경기도 화성시 하길로 70,2014-11-28,20141128,980,11,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A44592109,화성향남오색마을사랑으로부영11단지,경기도 화성만세구 향남읍 하길리 1505 화성향남오색마을사랑으로부영11단지,경기도 화성시 하길로 9,2014-11-28,20141128,1124,13,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A44592110,화성향남오색마을사랑으로부영9단지,경기도 화성만세구 향남읍 하길리 432-2 화성향남오색마을사랑으로부영9단지,경기도 화성시 하길로 69,2014-11-28,20141128,684,7,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10028158,동탄역모아미래도아파트,경기도 화성동탄구 청계동 49-89 동탄역모아미래도아파트,경기도 화성시 동탄청계로 303-33,2015-01-23,20150123,460,5,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028167,동탄역 시범 예미지 아파트,"경기도 화성동탄구 청계동 510-30,경기도 화성동탄구 청계동 510-30 동탄역 시범 예미지 아파트",경기도 화성시 동탄대로시범길 192,2015-01-28,20150128,485,12,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028171,동탄역 시범 리슈빌아파트,경기도 화성동탄구 청계동 513 동탄역 시범 리슈빌아파트,경기도 화성시 동탄대로시범길 236,2015-01-29,20150129,656,15,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028071,동탄역센트럴자이아파트,경기도 화성동탄구 영천동 665 동탄역센트럴자이아파트,경기도 화성시 동탄대로22길 30,2015-01-29,20150129,559,10,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
