cluster_id,citycode,nodeid,nodenm,nodeno,api_lat,api_lon,list_lat,list_lon,coord_delta_m,recomputed_dist_m,api_radius_claim_m,reference_missing,direction_label,has_trunk_route,smoke_test_at,smoke_result,raw_snapshot_path,review_status,verified_by,verified_at,reject_reason,raw_citycode_response_path
A10023370,31240,GGB233001006,행복주택.동탄경찰서(좌회전전용),55890,37.1865833,127.0916167,37.1865833,127.0916167,0.0,595.9095898494454,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023370,31240,GGB233002497,행복주택.동탄경찰서,55409,37.1865667,127.0918,37.1865667,127.0918,0.0,610.3959657576258,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023370,31240,GGB233002495,동탄초교,55403,37.1874833,127.0925167,37.1874833,127.0925167,0.0,709.5996965530732,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023573,31240,GGB233003211,반도유보라.삼정그린코아,55969,37.2013333,127.0904,37.2013333,127.0904,0.0,134.17804875655872,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023573,31240,GGB233003210,반도유보라.삼정그린코아,55968,37.2015667,127.09035,37.2015667,127.09035,0.0,139.24785394682866,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023573,31240,GGB233003239,동탄여울공원,55988,37.2020667,127.0869833,37.2020667,127.0869833,0.0,209.00493801717676,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023573,31240,GGB233003240,동탄여울공원,55989,37.2023333,127.0870833,37.2023333,127.0870833,0.0,220.24586442060684,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023573,31240,GGB233002294,반도8차,37134,37.2018667,127.0925167,37.2018667,127.0925167,0.0,330.7477845806148,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023573,31240,GGB233002515,반도8차,37239,37.2018667,127.0930167,37.2018667,127.0930167,0.0,373.3916531760864,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023642,31130,GGB222001951,다산지금경기행복주택.다산지금데시앙,49830,37.6198833,127.1658667,37.6198833,127.1658667,0.0,107.35525309325692,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023642,31130,GGB222001950,다산지금경기행복주택.다산지금데시앙,49829,37.6196667,127.1658333,37.6196667,127.1658333,0.0,131.1145967553676,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023642,31130,GGB222001967,다산센트럴파크.F1단독택지,49846,37.6201,127.1639333,37.6201,127.1639333,0.0,220.6623862730137,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023642,31130,GGB222001630,다산신도시입구,49514,37.6193667,127.16815,37.6193667,127.16815,0.0,228.37370253731575,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023642,31130,GGB222001966,다산센트럴파크.F1단독택지,49845,37.6198833,127.1639,37.6198833,127.1639,0.0,232.80376450232168,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023642,31130,GGB222000846,다산지금경기행복주택,49391,37.6190333,127.16415,37.6190333,127.16415,0.0,271.03054939015897,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023643,31130,GGB222000419,다산진건데시앙,49847,37.6283667,127.1491,37.6283667,127.1491,0.0,115.34603825842154,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023643,31130,GGB222000872,다산역5번출구.다산진건데시앙,49922,37.6266667,127.1497167,37.6266667,127.1497167,0.0,120.42614136094862,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023643,31130,GGB222000873,다산역5번출구.다산자이아이비플레이스,49923,37.6268,127.1499167,37.6268,127.1499167,0.0,125.9456792342216,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023643,31130,GGB222001931,모두랑근린공원.다산진건데시앙,49801,37.6285833,127.1491667,37.6285833,127.1491667,0.0,140.07225604564528,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023643,31130,GGB222000818,다산하늘초.한양수자인1차후문,49203,37.6266667,127.1471667,37.6266667,127.1471667,0.0,155.90141804508062,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023643,31130,GGB222001475,다산진건데시앙.경기행복주택,49392,37.6263667,127.1473333,37.6263667,127.1473333,0.0,164.32216101238654,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023650,31240,GGB233000333,디루체,55804,37.1742,127.1260833,37.1742,127.1260833,0.0,236.61569357155724,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023650,31240,GGB233000332,디루체,55803,37.1738833,127.12575,37.1738833,127.12575,0.0,282.419775731902,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023650,31240,GGB233000354,호반써밋동탄,55816,37.1732333,127.1332333,37.1732333,127.1332333,0.0,540.6816549927166,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023650,31240,GGB233000353,호반써밋동탄,55815,37.1730167,127.13365,37.1730167,127.13365,0.0,584.7209434545452,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023650,31240,GGB233001333,C10,55915,37.17945,127.1328333,37.17945,127.1328333,0.0,599.1239627015439,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023650,31240,GGB233000328,쎈트럴써밋,55800,37.1741,127.12135,37.1741,127.12135,0.0,613.4400118320327,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023757,31240,GGB233000329,제일풍경채.행복주택40단지,55801,37.17665,127.1416167,37.17665,127.1416167,0.0,112.7965471824944,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023757,31240,GGB233000331,제일풍경채.행복주택40단지,55802,37.17715,127.1414,37.17715,127.1414,0.0,171.1502893274562,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023757,31240,GGB233002277,(임시)e편한세상동탄파크아너스,55934,37.1761167,127.1462167,37.1761167,127.1462167,0.0,356.98357832058304,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023757,31240,GGB233001305,금강펜테리움.힐스테이트,55912,37.1741333,127.13815,37.1741333,127.13815,0.0,402.584869648257,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023757,31240,GGB233001316,힐스테이트.금강펜테리움,55913,37.1744167,127.13795,37.1744167,127.13795,0.0,405.9341323308083,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023757,31240,GGB233000355,동탄9동행정복지센터,55817,37.1799833,127.138,37.1799833,127.138,0.0,600.4269476168231,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
