cluster_id,complex_name,addr_legal_raw,addr_query,addr_variant_used,type,status,lat,lon,crs,refined_text,dong_final,vw_level1_raw,vw_level2_raw,vw_level3_raw,vw_level4L_raw,vw_level4A_raw,vw_level4AC_raw,vw_level5_raw,vw_detail_raw,representative_method,parcel_count,parcel_success_count,parcel_excluded,centroid_spread_m,distance_from_anchor_km,coord_source,coord_fetched_at,coord_license_note,coord_geom_basis,coord_resolution,coord_uncertainty_m,qa_flag,error_code,needs_review,override_decision
A10027465,동탄2 반도유보라아이비파크3차아파트,경기도 화성동탄구 여울동 474-9,경기도 화성시 동탄대로12길 17,fallback_road,ROAD,OK,37.18190953592563,127.10334734189098,EPSG:4326,"경기도 화성시 동탄구 동탄대로12길 17 (여울동,반도유보라아이비파크3)",여울동,경기도,화성시 동탄구,여울동,동탄대로12길,동탄6동,4159756000,17,반도유보라아이비파크3 1801동,single_parcel,1,1,,0.0,1.41,vworld_geocoder_2.0,2026-09-03T02:12:42.385104+00:00,Realtime query. Not stored per VWorld TOS.,building_entrance,,0.0,,,False,
A10027476,하남미사강변도시17단지,경기도 하남시 망월동 1044,경기도 하남시 망월동 1044,full_parcel,PARCEL,OK,37.56499350626359,127.18127872996064,EPSG:4326,경기도 하남시 망월동 1044,망월동,경기도,하남시,,망월동,미사1동,4145061000,1044,미사강변도시17단지 1701동,single_parcel,1,1,,0.0,0.84,vworld_geocoder_2.0,2026-09-03T02:12:42.880655+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027505,LH호수마을 5단지아파트,경기도 김포시 구래동 6875-9,경기도 김포시 구래동 6875-9,full_parcel,PARCEL,OK,37.64829454774845,126.63263556572402,EPSG:4326,경기도 김포시 구래동 6875-9,구래동,경기도,김포시,,구래동,구래동,4157057000,6875-9,김포한강엘에이치호수마을5단지 501동,single_parcel,1,1,,0.0,3.98,vworld_geocoder_2.0,2026-09-03T02:12:43.372296+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027509,위례 LH 35단지,경기도 성남수정구 창곡동 510,경기도 성남시 수정구 창곡동 510,full_parcel,PARCEL,OK,37.47288068941016,127.14507915300553,EPSG:4326,경기도 성남시 수정구 창곡동 510,창곡동,경기도,성남시 수정구,,창곡동,위례동,4113162500,510,위례35단지 3503동,single_parcel,1,1,,0.0,0.36,vworld_geocoder_2.0,2026-09-03T02:12:43.885899+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027514,미사강변푸르지오,경기도 하남시 망월동 1060,경기도 하남시 망월동 1060,full_parcel,PARCEL,OK,37.56466765695855,127.1841570553683,EPSG:4326,경기도 하남시 망월동 1060,망월동,경기도,하남시,,망월동,미사1동,4145061000,1060,미사강변 푸르지오 101동,single_parcel,1,1,,0.0,0.63,vworld_geocoder_2.0,2026-09-03T02:12:44.395892+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027537,미사강변 하우스디 더레이크,경기도 하남시 망월동 1062,경기도 하남시 망월동 1062,full_parcel,PARCEL,OK,37.56208121729164,127.18526598068428,EPSG:4326,경기도 하남시 망월동 1062,망월동,경기도,하남시,,망월동,미사1동,4145061000,1062,미사강변 하우스디 더 레이크 1901동,single_parcel,1,1,,0.0,0.37,vworld_geocoder_2.0,2026-09-03T02:12:44.933683+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027546,위례 센트로엘 아파트,경기도 하남시 학암동 662,경기도 하남시 학암동 662,full_parcel,PARCEL,OK,37.476488647996,127.14555030610596,EPSG:4326,경기도 하남시 학암동 662,학암동,경기도,하남시,,학암동,위례동,4145058500,662,위례 센트로엘 6101동,single_parcel,1,1,,0.0,0.65,vworld_geocoder_2.0,2026-09-03T02:12:45.458537+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027552,미사강변 동원로얄듀크아파트,경기도 하남시 풍산동 477,경기도 하남시 풍산동 477,full_parcel,PARCEL,OK,37.55449712130013,127.18277156890868,EPSG:4326,경기도 하남시 풍산동 477,풍산동,경기도,하남시,,풍산동,미사3동,4145063000,477,미사강변동원로얄듀크 2201동,single_parcel,1,1,,0.0,0.84,vworld_geocoder_2.0,2026-09-03T02:12:45.965957+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027553,위례2차아이파크아파트,서울특별시 송파구 장지동 884,서울특별시 송파구 장지동 884,full_parcel,PARCEL,OK,37.47956647712746,127.14371452755849,EPSG:4326,서울특별시 송파구 장지동 884,장지동,서울특별시,송파구,,장지동,위례동,1171064700,884,위례2차아이파크 201동,single_parcel,1,1,,0.0,0.89,vworld_geocoder_2.0,2026-09-03T02:12:46.534805+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027595,위례센트럴푸르지오,경기도 성남수정구 창곡동 519,경기도 성남시 수정구 창곡동 519,full_parcel,PARCEL,OK,37.47086951507727,127.1527047169939,EPSG:4326,경기도 성남시 수정구 창곡동 519,창곡동,경기도,성남시 수정구,,창곡동,위례동,4113162500,519,위례 센트럴 푸르지오 5401동,single_parcel,1,1,,0.0,1.02,vworld_geocoder_2.0,2026-09-03T02:12:47.058810+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
