kapt_code,kapt_name,addr_legal,addr_road
A10022995,문정동현대2차아파트,서울특별시 송파구 문정동 58 문정동현대2차아파트,서울특별시 송파구 송파대로16길 12
A10023026,감일푸르지오마크베르,경기도 하남시 감이동 438 감일푸르지오마크베르,경기도 하남시 감일중앙로 80
A10023070,잠실 센트럴파크,서울특별시 송파구 잠실동 187-10 잠실 센트럴파크,서울특별시 송파구 백제고분로7길 42
A10023145,김포마송디에트르퍼스티지아파트,경기도 김포시 통진읍 마송리 568 김포마송디에트르퍼스티지아파트,경기도 김포시 율마로450번길 17
A10023176,봉담영풍아파트,경기도 화성효행구 봉담읍 와우리 24-1 봉담영풍아파트,경기도 화성시 와우로 74-7
A10023182,별내반도유보라,경기도 남양주시 별내면 청학리 580 별내반도유보라,경기도 남양주시 청학로68번길 62
A10023197,성남샤르망아파트,경기도 성남수정구 신흥동 5180 성남샤르망아파트,경기도 성남시 수정구 시민로 165
A10023209,김포마송1차 대방엘리움 센트럴파크아파트,경기도 김포시 통진읍 마송리 536 김포마송1차 대방엘리움 센트럴파크아파트,경기도 김포시 마송공원길 35
A10023210,김포양곡LH2단지 아파트,경기도 김포시 양촌읍 양곡리 1278 김포양곡LH2단지 아파트,경기도 김포시 양곡2로80번길 33
A10023226,하남감일제일풍경채아파트,경기도 하남시 감이동 503 하남감일제일풍경채아파트,경기도 하남시 감일백제로 165
A10023466,김포마송LH4단지,경기도 김포시 통진읍 마송리 518 김포마송LH4단지,경기도 김포시 마송1로 74
A10023558,김포마송LH6단지,경기도 김포시 통진읍 마송리 570 김포마송LH6단지,경기도 김포시 율마로450번길 51
A10023599,잠실엘타워,서울특별시 송파구 잠실동 208-4 잠실엘타워,서울특별시 송파구 석촌호수로 74
A10023610,송파kcc아파트,서울특별시 송파구 송파동 164 송파kcc아파트,서울특별시 송파구 송이로 27-1
A10023628,e편한세상 김포어반베뉴,경기도 김포시 통진읍 마송리 586 e편한세상 김포어반베뉴,경기도 김포시 율마로438번길 52
A10023672,감일한라비발디2차,경기도 하남시 감이동 468 감일한라비발디2차,경기도 하남시 감일순환로 40
A10023676,감일수자인,"경기도 하남시 감이동 445-,경기도 하남시 감이동 445 감일수자인",경기도 하남시 감일백제로180번길 30
A10023768,김포양곡LH1단지,경기도 김포시 양촌읍 양곡리 1276 김포양곡LH1단지,경기도 김포시 양곡2로80번길 61
A10024110,진접현대아파트,경기도 남양주시 진접읍 장현리 8-1 진접현대아파트,경기도 남양주시 금강로 1567-31
A10024122,판교밸리포레자이,경기도 성남수정구 고등동 576 판교밸리포레자이,경기도 성남시 수정구 고등로 33
A10024172,문정현대아파트,서울특별시 송파구 문정동 62-5 문정현대아파트,서울특별시 송파구 송파대로20길 28
A10024257,김포마송LH5단지,경기도 김포시 통진읍 마송리 579 김포마송LH5단지,경기도 김포시 율마로438번길 51
A10024271,e편한세상김포로얄하임아파트,경기도 김포시 통진읍 마송리 513 e편한세상김포로얄하임아파트,경기도 김포시 마송1로 122
A10024296,김포마송LH3단지아파트,경기도 김포시 통진읍 마송리 546 김포마송LH3단지아파트,경기도 김포시 마송1로 9
A10025467,풍납대아아파트,서울특별시 송파구 풍납동 163 풍납대아아파트,서울특별시 송파구 풍성로 52
A10025632,송파해모로아파트,서울특별시 송파구 풍납동 512 송파해모로아파트,서울특별시 송파구 풍성로26길 47
A10026209,올림픽베어스타운,서울특별시 송파구 방이동 171 올림픽베어스타운,서울특별시 송파구 위례성대로 58
A10026717,마천동신동아아파트,서울특별시 송파구 마천동 20 마천동신동아아파트,서울특별시 송파구 성내천로21길 11
A10026804,강변현대아파트,서울특별시 송파구 풍납동 299-1 강변현대아파트,서울특별시 송파구 한가람로 402
A10026869,남양주창현도뮤토아파트,경기도 남양주시 화도읍 창현리 778 남양주창현도뮤토아파트,경기도 남양주시 창현로 45
A10026983,평내호평역 KCC스위첸 아파트,경기도 남양주시 호평동 728 평내호평역 KCC스위첸 아파트,경기도 남양주시 호평로45번길 11-15
A10027059,별내효성해링턴코트,경기도 남양주시 별내동 919 별내효성해링턴코트,경기도 남양주시 별내3로 183
A10027148,LH 미리내마을4-2단지,경기도 남양주시 별내동 1048 LH 미리내마을4-2단지,경기도 남양주시 별내4로 25
A10027226,풍년마을 대우아파트,경기도 김포시 사우동 1475 풍년마을 대우아파트,경기도 김포시 사우중로74번길 66
A10027230,별내 미리내마을4-3단지,경기도 남양주시 별내동 1043 별내 미리내마을4-3단지,경기도 남양주시 별내4로 7
A10027500,태일포로미 빌라,경기도 김포시 통진읍 가현리 43-2 태일포로미 빌라,경기도 김포시 흥신로 291
A10027695,별내푸르지오,경기도 남양주시 별내동 871 별내푸르지오,경기도 남양주시 송산로307번길 20
A10027758,호평1차대명루첸아파트,경기도 남양주시 호평동 410-6 호평1차대명루첸아파트,경기도 남양주시 천마산로12번길 25-7
A10027833,남양주 월산 사랑으로 부영1단지 아파트,"경기도 남양주시 화도읍 월산리 81,경기도 남양주시 화도읍 월산리 1528 남양주 월산 사랑으로 부영1단지 아파트",경기도 남양주시 경춘로 2273
A10027838,월산부영2단지,"경기도 남양주시 화도읍 답내리 516-4,경기도 남양주시 화도읍 답내리 1074 월산부영2단지",경기도 남양주시 경춘로2275번길 9-8
A10027911,화도효성해링턴플레이스,"경기도 남양주시 화도읍 월산리 1527,경기도 남양주시 화도읍 월산리 70-5 화도효성해링턴플레이스",경기도 남양주시 경춘로2248번길 40
A10027943,별내아이파크2차아파트,경기도 남양주시 별내동 852 별내아이파크2차아파트,경기도 남양주시 덕송1로 30
A10027962,별사랑마을2-9단지,경기도 남양주시 별내동 925 별사랑마을2-9단지,경기도 남양주시 별내3로 114
A10028068,별사랑마을2-7단지,경기도 남양주시 별내동 921 별사랑마을2-7단지,경기도 남양주시 별내3로 159
A10028128,일성오퍼스원,경기도 성남수정구 태평동 5113-7 일성오퍼스원,경기도 성남시 수정구 성남대로 1330
A10028140,별내 유승한내들 이노스타,경기도 남양주시 별내동 893 별내 유승한내들 이노스타,경기도 남양주시 송산로 277
A10028151,LH 별사랑마을 2-10단지,"경기도 남양주시 별내동 913,경기도 남양주시 별내동 251 LH 별사랑마을 2-10단지",경기도 남양주시 별내3로 251
A13804001,풍납극동,"서울특별시 송파구 풍납동 400-6,서울특별시 송파구 풍납동 391 풍납극동","서울특별시 송파구 올림픽로45길 11,서울특별시 송파구 올림픽로45길 12"
A13804002,풍납쌍용,서울특별시 송파구 풍납동 401-1 풍납쌍용,서울특별시 송파구 올림픽로47길 9
A13804003,풍납시티극동,서울특별시 송파구 풍납동 509 풍납시티극동,서울특별시 송파구 한가람로 478
A13804004,풍납현대,서울특별시 송파구 풍납동 413-1 풍납현대,서울특별시 송파구 올림픽로 525
A13804206,풍납한강극동,서울특별시 송파구 풍납동 508 풍납한강극동,서울특별시 송파구 토성로 38-6
A13805001,방이대림가락,서울특별시 송파구 방이동 217 방이대림가락,서울특별시 송파구 양재대로 1109
